✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 320, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 4,064,347
Starting training for 21973 steps...
Batch 18600 | Loss: 2.4013 | BPC: 3.464 | Speed: 104836 tok/s
Batch 18700 | Loss: 2.4150 | BPC: 3.484 | Speed: 105396 tok/s
Batch 18800 | Loss: 2.4256 | BPC: 3.499 | Speed: 105405 tok/s
Batch 18900 | Loss: 2.3703 | BPC: 3.420 | Speed: 104492 tok/s
Batch 19000 | Loss: 2.3405 | BPC: 3.377 | Speed: 104080 tok/s
Batch 19100 | Loss: 2.3867 | BPC: 3.443 | Speed: 105037 tok/s
Batch 19200 | Loss: 2.3640 | BPC: 3.411 | Speed: 105389 tok/s
Batch 19300 | Loss: 2.3978 | BPC: 3.459 | Speed: 105373 tok/s
Batch 19400 | Loss: 2.3584 | BPC: 3.402 | Speed: 104356 tok/s
Batch 19500 | Loss: 2.3574 | BPC: 3.401 | Speed: 104168 tok/s
Batch 19600 | Loss: 2.3456 | BPC: 3.384 | Speed: 105328 tok/s
Batch 19700 | Loss: 2.3862 | BPC: 3.443 | Speed: 105387 tok/s
Batch 19800 | Loss: 2.4115 | BPC: 3.479 | Speed: 105223 tok/s
Batch 19900 | Loss: 2.3716 | BPC: 3.421 | Speed: 103972 tok/s
Batch 20000 | Loss: 2.3753 | BPC: 3.427 | Speed: 104083 tok/s
Batch 20100 | Loss: 2.3969 | BPC: 3.458 | Speed: 104710 tok/s
Batch 20200 | Loss: 2.3735 | BPC: 3.424 | Speed: 105324 tok/s
Batch 20300 | Loss: 2.4072 | BPC: 3.473 | Speed: 105121 tok/s
Batch 20400 | Loss: 2.3304 | BPC: 3.362 | Speed: 103896 tok/s
Batch 20500 | Loss: 2.3425 | BPC: 3.380 | Speed: 104419 tok/s
Batch 20600 | Loss: 2.3593 | BPC: 3.404 | Speed: 105412 tok/s
Batch 20700 | Loss: 2.3832 | BPC: 3.438 | Speed: 105396 tok/s
Batch 20800 | Loss: 2.3614 | BPC: 3.407 | Speed: 104806 tok/s
Batch 20900 | Loss: 2.3677 | BPC: 3.416 | Speed: 104156 tok/s
Batch 21000 | Loss: 2.3950 | BPC: 3.455 | Speed: 104790 tok/s
Batch 21100 | Loss: 2.4142 | BPC: 3.483 | Speed: 105399 tok/s
Batch 21200 | Loss: 2.3811 | BPC: 3.435 | Speed: 105450 tok/s
Batch 21300 | Loss: 2.3937 | BPC: 3.453 | Speed: 104739 tok/s
Batch 21400 | Loss: 2.3818 | BPC: 3.436 | Speed: 104293 tok/s
Batch 21500 | Loss: 2.3959 | BPC: 3.457 | Speed: 105061 tok/s
Batch 21600 | Loss: 2.4439 | BPC: 3.526 | Speed: 105438 tok/s
Batch 21700 | Loss: 2.4377 | BPC: 3.517 | Speed: 105400 tok/s
Batch 21800 | Loss: 2.3829 | BPC: 3.438 | Speed: 104480 tok/s
Batch 21900 | Loss: 2.3359 | BPC: 3.370 | Speed: 104156 tok/s
Evaluating...
Valid BPC: 3.4381

═══════════════════════════════════════════════════════
  INN 4.1M        [papier]  BPC = 1.7050  ✓
  MambaStack 2.5M [papier]  BPC = 3.4380  ✗ diverged
  MambaStack 4.1M [EXP-1]  BPC = 3.4381  ✗ diverged
  Params matched  : 4,064,347 vs INN 4,120,832 (1.4% écart)
═══════════════════════════════════════════════════════
Résultats sauvegardés : exp1_results.json
Figure sauvegardée : exp1_training_curves.png

→ Conclusion pour le papier :
  MambaStack diverge même à 4.1M params (3.438 BPC).
  → Topologie = vraie raison de la stabilité. Argument R1/R2 neutralisé. ✓

  Phrase pour le papier :
  "A parameter-matched Mamba Stack (4.1M params) trained
  under the identical protocol also fails to converge (3.438 BPC),
  ruling out parameter budget as a confound for the instability."
